cell                                                                   check                 verdict  detail
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     parity                INFO     vs_triton: jaccard@100 0.998972, score_max_abs_diff 1.172e-02 (inexact algo: reported)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    quality recall@100    FAIL     v2 0.982127 golden 0.982054 |diff| 7.3e-05 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    quality ndcg@100      FAIL     v2 0.987107 golden 0.987055 |diff| 5.2e-05 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    quality recall@500    FAIL     v2 0.986103 golden 0.986094 |diff| 9.3e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    quality ndcg@500      FAIL     v2 0.988981 golden 0.988973 |diff| 7.3e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    quality recall@1000   FAIL     v2 0.987318 golden 0.987316 |diff| 2.1e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    quality ndcg@1000     FAIL     v2 0.989633 golden 0.989631 |diff| 1.6e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=100 bs=1    FAIL     v2 graph 0.6195 ms golden 0.6260 ms ratio 0.990 [sm 1410/1155 MHz → normalised ratio 1.208]; v2 eager 0.6931 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=100 bs=8    FAIL     v2 graph 1.3137 ms golden 1.3024 ms ratio 1.009 [sm 1410/1155 MHz → normalised ratio 1.231]; v2 eager 1.4288 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=100 bs=16   FAIL     v2 graph 2.1292 ms golden 2.0788 ms ratio 1.024 [sm 1410/1155 MHz → normalised ratio 1.250]; v2 eager 2.3028 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=500 bs=1    FAIL     v2 graph 0.6336 ms golden 0.6381 ms ratio 0.993 [sm 1410/1155 MHz → normalised ratio 1.212]; v2 eager 0.7093 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=500 bs=8    FAIL     v2 graph 1.3228 ms golden 1.3082 ms ratio 1.011 [sm 1410/1155 MHz → normalised ratio 1.234]; v2 eager 1.4398 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=500 bs=16   FAIL     v2 graph 2.1436 ms golden 2.0923 ms ratio 1.025 [sm 1410/1155 MHz → normalised ratio 1.251]; v2 eager 2.3206 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=1000 bs=1   PASS     v2 graph 0.6346 ms golden 0.7704 ms ratio 0.824 [sm 1410/1155 MHz → normalised ratio 1.006]; v2 eager 0.7098 ms
